19810	The holiday ended all too soon.	654667	تعطیلات خیلی زود تمام شد.
20025	The chances are that the bill will be rejected.	829012	هرچه شانس بود بیل از دست داد.
20297	I don't feel well. Could you give me some medicine?	764224	حالم خوب نیست.می شود مقداری دارو به من بدهی؟
20344	Take it easy.	823712	آسان بگیرش.
20393	Never mind. Anyone can make mistakes.	2441152	اشکالی ندارد. همه می توانند اشتباه کنند.
20602	Several newspapers published the story.	679291	مجلا ت گونا گونی آن داستان را منتشر کردند.
20776	I try.	3653820	امتحان میکنم
20776	I try.	3653823	تست میکنم
20820	The countries concerned settled the dispute by peaceful means.	2095041	کشورهای ذیربط، اختلاف را از طریق ابزارهای مسالمت آمیز حل و فصل نمودند.
20864	People who are afraid of making mistakes will make no progress in English conversation.	2441148	کسانی که از اشتباه کردن می ترسند،نمی توانند در مکالمه انگلیسی پیشرفت کنند
20871	Don't worry about making mistakes.	2441153	نگران اشتباه کردن نباش.
21155	The cold weather continued for three weeks.	2379533	هوای سرد تا سه هفته ادامه یافت.
21260	Do you play a musical instrument?	667772	آیا تو سازی موسیقیایی می نوازی؟
21263	After a storm comes a calm.	1044805	پس از طوفان، آرامش گسترده می‌گردد.
21552	The school is two kilometers ahead.	654616	مدرسه دو کیلومتر به سمت جلو است.
21644	The more you study, the more you discover your ignorance.	654623	هر چه بیشتر بخوانی، بیشتر به نادانیت پی می بری.
21850	Don't make fun of foreigners.	1780290	خارجی ها را مسخره نکن.
21864	I'd rather stay home than go out.	2019276	ترجیح می دهم در خانه بمانم تا اینکه بیرون بروم.
21914	I will show you a new approach to foreign language learning.	778460	من شیوه ای نو برای یادگیری زبان نشانت می دهم.
21956	We have to buy them from abroad.	809595	باید آنها را از خارج بخریم.
22225	The sea was as smooth as glass.	773714	دریا مثل شیشه صاف بود.
22248	I cast my net into the sea.	529206	من تور ماهیگیری ام را به درون دریا انداختم.
22386	The community is made up of individuals.	654653	جامعه متشکل از اشخاص است.
22447	The date and place of the meeting have been fixed.	753622	تاریخ و زمان جلسه ثابت و معین شده است.
22559	Absence makes the heart grow fonder.	1044790	دوری باعث علاقمندی می شود.
22559	Absence makes the heart grow fonder.	1044791	دوری و دوستی.
22670	We must preserve our peaceful constitution.	2095044	ما باید قانون اساسی صلح آمیز خود را حفظ کنیم.
22674	We are a peace-loving nation.	2095045	ما ملت صلح دوستی هستیم.
22675	We are working in the interest of peace.	2095046	ما در جهت صلح تلاش می کنیم.
22753	We came to the conclusion that we should help him.	563939	ما به این نتیجه رسیدیم که باید به او کمک کنیم.
22868	We are longing for world peace.	2095047	ما مشتاق صلح جهانی هستیم.
22869	We are anxious for world peace.	2095049	ما به شدت خواهان صلح جهانی هستیم.
22870	We should make every effort to maintain world peace.	2095052	ما باید هر گونه تلاشی را جهت حفظ صلح جهانی انجام دهیم.
22880	We talked in sign language.	907859	ما با زبان اشاره صحبت کردیم.
23052	We set out on our journey full of hope.	2762563	ما سفرمان را با پر از آرزو شروع کردیم ( میکنیم)
23214	We got all the materials together.	1440446	ما تمام مواد را یکجا بدست آوردیم
23296	We have enjoyed peace for more than forty years.	2095057	ما بیش از 40 سال است که از صلح برخوردار شده ایم.
23420	Our project collapsed.	829391	پروژه ی ما زمین گیر شده است.
23432	Our ultimate goal is to establish world peace.	2095058	هدف غایی ما برقراری صلح جهانی است.
23620	It is considered impossible to travel back to the past.	640142	سفر کردن به گذشته مسئله ای غیر ممکن تلقی شده است.
23817	In case of fire, you should dial 119.	1849174	در صورت آتش سوزی، شما باید با شماره 119 تماس بگیرید.
23818	In case of a fire, use this emergency stairway.	822313	به هنگام آتش سوزی از پله های اضطراری استفاده کنید.
23884	There is no smoke without fire.	1061405	تا نباشد چیزکی، مردم نگویند چیزها.
23897	The fire is going out; will you add some wood?	752739	آتش دارد خاموش می شود.می توانی کمی چوب اضافه کنی؟
24043	I have peace at home.	2095059	من در خانه آرامش دارم.
24147	The house was in flames.	1567931	خانه شعله ور شده بود.
24174	I had to help with the housework.	773713	می‌بایست در کارهای خانه کمک کنم.
24457	After a couple of drinks, the guy was feeling no pain.	1758670	بعد از چند نوشیدنی، دیگر آن مرد دردی احساس نمی کرد.
24542	Many kinds of birds live in Japan.	888551	در ژاپن، پرنده های گوناگون می زیند.
24561	A fox is not caught twice in the same snare.	588644	یک روباه دوبار در یک دام نمی افتد.
24789	Above all, be patient.	839446	بالاتر از هر چیز این است که صبور باشی.
24840	It is good for nothing.	2512958	به هیچ دردی نمی خورد.
25013	I want something cold to drink.	705051	من چیزی سرد برای نوشیدن می خواهم.
25164	What's up?	691619	چه خبر؟
25321	If it were to rain tomorrow, the match would be postponed.	731258	اگر قرار بود فردا باران ببارد، مسابقه به تعویق می‌افتاد.
25356	I got soaked to the skin.	1883244	تا مغز استخوان خیس شدم.
25394	Musicians are usually sensitive to criticism.	1888888	موسیقی‌دانان معمولاً نسبت به انتقاد حساس هستند.
25450	Don't make any noise, I'm studying.	535048	سر و صدا ایجاد نکن, من دارم مطالعه می کنم
25471	The temperature falls.	827410	تب پایین آمده است.
25571	The roof is really in need of repair.	752274	پشت بام واقعا به تعمیر احتیاج دارد.
25740	Could you pass me the salt, please?	705460	می شود به من نمک را بدهی، لطفا؟
25741	Please pass me the salt.	705459	لطفا نمک را به من بده.
25742	Pass me the salt, would you?	705463	نمک را به من بده، ممکنه؟
25755	Pass me the salt and pepper, please.	705470	نمک و فلفل را بگردان، لطفا.
25756	We season with salt.	705468	ما با چاشنی نمک طعم می دهیم.
25757	I wanted some salt, but there was none in the jar.	705472	من نمک می خواستم، ولی در بطری شیشه ای هیچ نبود.
25824	I saw a light in the distance.	705033	من از دور یک روشنایی دیدم.
25825	I could see Tokyo Tower far away.	773668	برج توکیو را می‌توانستم در دوردست ببینم.
25977	It's too far to walk to the station, so let's take a bus.	805159	پیاده روی تا ایستگاه طولانی است پس بیا سوار اتوبوس شویم.
26229	Learning English is hard work.	805162	یادگیری زبان انگلیسی کار سختی است.
26275	English has become an international language.	752280	انگلیسی به یک زبان بین المللی تبدیل شده است.
26365	It is difficult to express one's thoughts in English.	1545688	بیان افکار به زبان انگلیسی دشوار است.
26422	Permanent peace is nothing but an illusion.	2095061	صلح پایدار چیزی نیست بجز یک توهم.
26467	I think a movie is more entertaining than any book.	510625	من فکر می کنم که یک فیلم بیشتر از یک کتاب سرگرم کننده است.
26817	The rain whipped against the window.	656642	باران به پنجره تازیانه می زد.
26897	Let's go back before it begins to rain.	772524	بیا برگردیم قبل از آنکه باران باریدن بگیرد.
27105	I'll explain how to take this medicine.	1558404	من توضیح خواهم داد که چگونه این دارو را مصرف کنید.
27173	Ichiro puts friendship above profit.	829406	ایچارو دوستی را بالاتر از منفعت می داند.
27468	Don't attempt two things at a time.	510507	در یک زمان برای دو چیز تلاش نکن.
27504	What on earth are you doing here?	1044585	اینجا داری چی کار می کنی؟
27567	He worked hard.	699254	خیلی سخت کار می کرد.
27703	She told him once and for all that she would not go to the movie with him.	773861	آن زن یک بار برای همیشه به او گفت که با او به سینما نخواهد رفت.
27919	The doctor told her that she should take a rest.	1519602	دکتر به او گفت او باید استراحت کند.
28024	A good doctor follows his own directions.	402865	دکتر خوبی کسی است که به راهنمایی های خودش عمل کند.
28107	Being a doctor helped me greatly during the journey.	2566509	دکتر بودنم در طی سفر به من کمک بزرگی کرد.
28205	I lost consciousness.	509653	من هوشیاری ام را از دست دادم.
28258	The committee was split over the project.	1888879	اعضای کمیته در مورد پروژه دو دیدگاه متفاوت داشتند.
28316	Have you met her before?	588600	قبلا او را دیده بودی؟
28345	There used to be a green field here; now there's a supermarket.	731255	اینجا قبلا یک مزرعه‌ی سرسبز بود، ولی حالا یک سوپرمارکت است.
28791	We are not born for ourselves.	753543	ما برای خودمان به دنیا نیامده ایم.
28802	We discussed the matter with each other.	1624227	ما مساله را با یکدیگر مورد بررسی قرار دادیم.
28972	I want to go with you.	822367	می خواهم با تو بیایم.
28997	I'm learning how to type.	805058	من دارم یاد می گیرم که چگونه تایپ کنم.
29020	I prefer coffee to tea.	705473	قهوه را به چای ترجیح می دهم.
29047	I exempted her from working overtime.	1609781	من او را از اضافه کار معاف کردم.
29064	Do you think that my way of teaching is wrong?	510464	آیا فکر میکنی که روش درس دادن من اشتباه است؟
29071	I have a friend whose father is a famous pianist.	761090	من دوستی دارم که پدرش پیانیست مشهوری است.
29168	We made a contract with the firm.	1758634	ما با شرکت قرارداد بستیم.
29228	There is little wine left.	848148	کمی شراب باقی مانده است.
29244	If you had a word processor, you'd be free from all this trouble.	907911	اگر یک واژه‌پرداز می‌داشتید، از تمام این دردسرها خلاص می‌شدید.
29315	I need a lot of cloth to make a long dress.	822340	من برای درست کردن یک لباس بلند به مقدار زیادی پارچه احتیاج دارم.
29329	Lobsters belong to a class of marine animals.	644133	میگو به دسته ی حیوانات دریایی تعلق دارد.
29350	Which do you like better, rock music or classical music?	773712	از کدامیک بیشتر خوشتان می‌آید، موسیقی راک یا موسیقی کلاسیک؟
29466	The candle went out by itself.	786233	شمع خود به خود خاموش شد.
29490	A tea with lemon, please.	1674334	یک چای با لیمو، لطفاً.
29771	The radio was invented by Marconi.	3033664	رادیو توسط مارکونی اختراع شد.
29826	Please turn off the light.	653815	لطفا چراغ را خاموش کن.
29918	Barking dogs seldom bite.	2398423	سگهایی که پارس می کنند، بندرت گاز می گیرند.
30006	Good. No absentees.	907888	خوب است. غایب نداریم.
30206	I've told you over and over again not to do that.	2171606	بارها و بارها بهت گقتم این کار رو نکن.
30371	You're old enough to know better.	1757134	تو به اندازه کافی بزرگ هستی، که بیشتر بدانی.
30374	I wish I had more time to talk with her.	1569547	کاش وقت بیشتری برای حرف زدن با او داشته باشم.
30420	Sorry I didn't e-mail you sooner.	1871907	ببخشید که زودتر به شما ایمیل نزدم.
30494	The brightest student expressed gratitude on behalf of his classmates.	1888896	با هوش‌ترین دانش‌آموز از طرف همکلاسی‌هایش ابراز تشکر کرد.
30580	If you can't keep your promise, what excuse will you make?	554428	اگر نتوانی به وعده‌ات عمل کنی، چه عذری خواهی آورد؟
30935	If he wanted to get to London today, he should leave now.	2379531	اگر بخواهد امروز به لندن برسد، باید همین الان برود.
30946	If peace cannot be maintained with honor, it is no longer peace.	2095023	اگر صلح را نتوان با شرافت حفظ کرد، این دیگر صلح نیست.
31020	If you will lend me the money, I shall be much obliged to you.	563912	اگر به من پول قرض بدهی،من بیشتر نسبت به تو وفادار خواهم شد.
31169	I won't talk with him anymore.	1515600	دیگر با او صحبت نخواهم کرد.
31377	It was really good.	651352	واقعا خوب بود.
31439	I'm done up.	2170229	دیگه نمی تونم ادامه بدم.
31528	Would you like another piece of cake?	2174758	یک تکه‌ی کیک دیگر میل دارید؟
31572	It's about time for the train to arrive.	564183	الآن تقریبا زمانی است که قطار می رسد.
31804	Meg looks pleased with her new dress.	860884	به نظر میرسد مگ از لباس جدیدیش راضی است.
31821	Meg talks too much.	402861	مگ آدم پر حرفی است.
31823	Meg is as tall as Ken.	402862	مگ هم قد کن است.
31824	Meg's shoes are a little loose.	402863	کفش های مگ کوچک شده اند.
31825	I met Meg, who told me the news.	402864	من مگ را دیدم که خبرها را به من گفت.
31857	Mabel loves to chew the fat while playing bridge.	705488	میبال عاشق گفت و گوی دوستانه است به هنگام کارت بازی.
31883	Mary is not poor. On the contrary, she is quite rich.	705012	ماری ندار نیست.اتفاقا او کمی پولدار است.
31924	Mary is studying in her room.	1793137	مری در حال مطالعه در اتاق خود است.
32016	I met a friend of Mary's.	2147460	من یکی از دوستان مری را ملاقات کردم.
32070	The man reading a paper over there is my uncle.	888648	آن مردی که آنجا روزنامه می خواند دایی من است.
32168	Everybody agreed with his idea.	705008	همه با نظرش موافقت کردند.
32326	It looks as if it's going to rain.	2194754	به نظر می رسه بارون می خواد بیاد.
32420	You will soon cease to think of her.	1883269	به زودی دیگر به او فکر نخواهی کرد.
32530	It's really horrible.	510563	آن واقعاً ترسناک است.
32642	It is likely to rain again.	829410	به احتمال زیاد دوباره باران می بارد.
32841	A friend in need is a friend indeed.	805167	دوست نیازمند هنوز یک دوست است.
32841	A friend in need is a friend indeed.	1044731	به هنگام نیاز، دوست واقعی شناخته می‌شود.
32841	A friend in need is a friend indeed.	1044733	دوست آن باشد که گیرد دست دوست، در پریشان‌حالی و درماندگی.
32865	Mother Teresa was born in Yugoslavia in 1910.	1527142	مادر ترزا در یوگسلاوی در سال 1910 به دنیا آمد.
33024	I'm kind of happy.	2195730	یک جورایی خوشحالم.
33215	Bob often tries to give up smoking.	823713	باب چندین بار سعی کرد که سیگار را ترک کند.
33265	Uncle Bob invited us to have dinner.	510640	عمو باب ما را برای نهار دعوت کرد.
33400	The more popcorn you eat, the more you want.	554393	پاپ‌کورن هر چه بیشتر بخوری، بیشتر می‌خواهی.
33530	I came across this book in a secondhand bookstore.	2171597	این کتاب رو اتفاقی توی یک کتابفروشی کتابهای دست دوم پیدا کردم.
33836	Helen is playing in the yard.	510483	هلن در حیاط در حال بازی کردن است.
33876	A Persian cat was sleeping under the table.	1589016	گربه ای ایرانی زیر میز خوابیده بود.
33900	Perry visited Uraga in 1853.	510624	پری، اوراگا را در سال 1853 بازدید کرد.
33928	Betty killed him.	667847	بتی او را کشت.
33951	Betty was the first girl who came to the party.	823726	بتی اولین دختری بود که وارد مهمانی شد.
33979	Some people keep rare animals as pets.	915310	برخی افراد، حیوانات کمیاب را بعنوان حیوان خانگی نگه می دارند.
34023	Beethoven was deaf in his late years.	3161336	بتهوون در سال‌های آخر عمرش ناشنوا بود.
34058	How's your project coming along?	866462	پروژه‌ی شما چطور پیش می‌رود؟
34178	France was at war with Russia.	1020246	فرانسه با روسیه در جنگ بود.
34179	France is adjacent to Spain.	1020203	فرانسه چسبیده به اسپانیا است.
34400	The boomerang hurtled whistling through the air.	554427	بومرنگ در حالی که در هوا سوت می‌کشید، به حرکت در آمد.
34413	She's intent on going to New York to study fashion.	1558417	او قصد دارد برای تحصیل در زمینه مد به نیویورک برود.
34542	Bill stopped smoking.	1724307	بیل سیگار را ترک کرد.
34657	One speaks English, and the other speaks Japanese.	1567946	یکی انگلیسی صحبت می کند، و دیگری ژاپنی حرف می زند.
34671	Hitler led Germany into war.	667841	هیتلر آلمانی ها را به جنگ کشانید.
34772	Where's the aisle for vitamins?	2188351	کجا می تونم ویتامین ها رو پیدا کنم؟ (در فروشگاه)
34792	Pizza is my favorite food.	1267378	پیتزا غذای مورد علاقه ی من است
34907	A piano is expensive, but a car is more expensive.	786293	یک پیانو گران است، اما یک ماشین گرانتر است.
34918	The number of Japanese who live on bread has increased.	805176	تعداد ژاپنی هایی که نان می خورند افزایش یافته است.
35029	Where is Paris?	745957	پاریس کجاست؟
35243	What's the bus fare?	809593	کرایه‌ی اتوبوس چقدر است؟
35389	I prefer going on foot to going by bus.	2761322	من قدم زدن رو به رفتن با اتوبوس ترجیح می دهم.
35530	Here's a magazine for you to read in the plane.	1486328	بفرمایید این مجله برای شماست تا در هواپیما مطالعه کنید.
35759	My throat feels dry.	773698	گلویم خشک شده است.
35778	Get out your notebooks and pens.	1609785	دفترچه ها و خودکارهایتان را بیرون بیاورید.
35896	New York is the busiest city in the world.	822374	نیویورک شلوغ ترین شهر دنیا است.
35896	New York is the busiest city in the world.	1089956	نیویورک شلوغ ترین شهر دنیاست
35976	Nick owes me ten dollars.	624543	نیک به من ده دلار را برگرداند.
36047	I will finish this work somehow.	1582710	به هر طریقی، من این کار را تمام خواهم کرد.
36113	What a nice friend you are!	1485560	تو چه دوست خوبي هستي.
36227	He is poor, to be sure, but he is happy.	506736	مطمئنا او مرد فقیری است با این حال، او شاد است.
36555	There is a knife missing.	852466	یک چاقو گم شده است.
36557	I don't think so.	852467	من اینطور فکر نمی کنم.
36558	At one time Nigeria was a British colony.	852468	زمانی، نیجریه ، مستعمره بریتانیا بود.
36559	What's this chair doing here?	852469	این صندلی اینجا چیکار می کنه؟
36560	Me? I'm a plain old salaryman.	852472	من؟ من فقط یک حقوق بگیر ساده پیرم.
36561	Hey, Tom, forget about your worries.	852473	هی تام، نگرانی هایت را فراموش کن.
36562	Oh, the driver is a maniac.	852476	اوه، راننده یک دیونه است.
36563	Mrs. Thompson wants to conceal the fact that she is a millionaire.	852477	خانم تامپسون می خواست این حقیقت را که میلیونر هست، پنهان کند.
36564	Mr Thompson has been very busy today.	852478	آقای تامپسون امروز خیلی مشغول بوده است.
36565	Mr Thompson had lived in Tokyo for two years before he went back to Scotland.	852480	آقای تامپسون، قبل از اینکه به اسکاتلند برگردد، دو سال در توکیو زندگی کرد.
36586	We must select a suitable person for any post.	753906	برای هر پست باید فرد مناسبی را انتخاب کنیم.
54432	What line of work are you in?	2166061	کارت چیه؟
36656	No words availed to persuade him.	563989	هیچ حرفی نتواتست او را متقاعد کند.
36656	No words availed to persuade him.	563996	هیچ حرفی نتوانست او را برانگیزد.
36693	No matter how rich he may be, he is never contented.	1584095	فرقی ندارد که او چقدر ثروتمند باشد، او هرگز قانع نخواهد شد.
36860	Your dress is touching the wet paint.	2188373	لباست داره رنگی میشه.
36863	How long can you hold your breath?	2441137	چه مدت می توانی نفست را حبس کنی؟
37101	Tom was at a loss how to express himself.	808913	تام این کمبود را داشت که چگونه خودش را ابراز کند.
37127	Tom got so absorbed in his work that he forgot to eat.	773701	تام به قدری جذب کارش شده بود که یادش می‌رفت غذا بخورد.
37145	Tom is playing the violin now.	696560	تام اکنون ویولن می نوازد.
37174	Tom hurt himself.	752287	تام به خودش آسیب می زند.
37234	Where was Tom born?	960873	تام کجا به دنیا آمده است؟
37403	I wish Tom were my younger brother.	510480	ای کاش (تام) برادر کوچکتر من بود.
37513	Not all children like apples.	510553	همه بچه ها سیب را دوست ندارند.
37621	Nobody knows exactly how many races make up the population of the United States.	773639	هیچکس دقیقاً نمی‌داند جمعیت ایالات متحده از چند نژاد تشکیل شده است.
37672	At any rate, we have to finish this chapter before we can start on the next.	1793144	به هر طریقی که شده است، ما باید این فصل را تمام کنیم قبل از اینکه فصل بعد را شروع کنیم.
37838	It was so dark.	918281	هوا خیلی تاریک بود.
37977	Which bag is yours?	805111	کدام کیف مال تو است؟
37992	Take whichever you want.	588583	هر وقت می خواهی بگیر.
38257	Sometimes machines can make an unconscious person breathe for years.	805124	برخی از ماشین ها برای سالها می توانند برای فرد بیهوش نفس مهیا کنند.
38275	From time to time, a proposal to pull down a much-loved old building to make room for a new block of flats raises a storm of angry protest.	1159067	در مقاطعی از زمان، درخواست تخریب یک ساختمان قدیمی محبوب به منظور ساختن یک بلوک از خانه ها، طوفانی از خشم ومخالفت را برمی انگیزد.
38348	How does he gain his living?	2221169	او معاش خود را چگونه تامین می کند؟
38387	I'm sorry.	509644	من متاسفم.
39088	Remember to lock the door.	1774472	یادت باشد در را قفل کنی.
39148	Turn off the TV.	773652	تلویزیون را خاموش کن.
39167	Don't watch TV.	510601	تلوزیون را تماشا نکن.
39449	How was your test?	863473	امتحانت، چطور بود؟
39450	Looks like you didn't study much for the test.	863475	به نظر می رسد زیاد برای امتحان مطالعه نکردی.
39640	The tablecloth is in the cabinet.	772521	رومیزی داخل کابینت است.
39651	Computer technology is indispensable to access many pertinent items of data.	866493	فناوری رایانه‌ای برای دسترسی به بسیاری از اقلام مرتبط داده‌ها ضروری است.
39698	Dick had a traffic accident.	773638	دیک یک حادثه‌ی رانندگی داشت.
39764	Each person was given enough food and clothing.	1757133	به هر نفر، غذا و لباس کافی داده شد.
